Quarter,Minute,Second,Down,ToGo,YardLine,Outcome
3,1,28,1,10,57,0
3,6,34,4,10,81,0
3,7,14,3,9,82,0
3,7,23,2,9,82,1
3,8,0,1,10,81,0
2,0,4,0,0,85,0
2,0,9,1,10,71,2
2,0,14,3,3,66,2
2,0,21,2,4,65,1
2,0,28,1,10,59,0
2,1,22,4,11,69,0
2,1,26,3,19,61,1
2,1,32,2,10,70,0
4,8,41,2,10,59,1
4,8,47,1,10,59,2
4,8,53,1,10,54,2
4,10,5,0,0,85,0
4,10,11,3,8,86,1
4,10,44,2,6,88,0
3,2,3,0,0,98,0
3,2,9,1,10,88,0
3,2,53,2,1,82,1
3,3,34,1,10,73,0
3,4,17,3,2,67,1
3,5,2,2,4,65,0
3,5,48,1,10,59,1
3,6,27,2,2,55,0
3,7,27,1,10,54,2
1,0,53,3,2,63,1
1,1,36,2,4,61,0
1,2,12,1,10,55,1
1,5,29,4,5,53,0
1,5,34,3,5,53,2
1,6,16,2,6,52,0
1,7,16,4,3,59,1
1,8,1,3,7,55,1
1,8,9,2,7,55,2
1,8,49,1,10,52,0
4,0,39,3,12,72,0
4,1,17,2,11,73,0
4,2,0,1,10,74,0
4,2,24,2,8,61,0
4,3,9,1,10,59,0
4,4,33,4,7,93,1
4,5,12,3,5,95,0
4,5,15,2,5,95,1
4,5,18,1,5,95,1
4,5,45,4,4,72,2
4,6,27,3,10,66,0
4,6,34,2,10,66,1
4,6,39,1,10,66,1
4,6,55,4,10,52,1
4,7,0,3,10,52,1
4,7,4,2,10,52,1
2,1,27,2,3,58,0
2,1,58,1,10,51,1
2,4,22,4,7,74,0
2,4,29,3,7,74,2
2,5,9,2,9,72,0
2,5,51,1,10,71,1
2,6,1,2,10,60,1
2,6,5,1,10,60,2
2,8,42,0,0,85,0
2,8,46,3,2,98,1
2,14,55,1,10,68,0
2,15,0,3,2,63,1
1,0,13,2,8,57,1
4,13,8,0,0,85,0
4,13,12,1,3,97,1
4,13,54,1,10,84,0
4,14,30,2,6,72,1
4,15,0,1,10,68,0
3,0,17,1,10,55,1
3,0,44,1,10,62,0
3,5,20,4,4,72,0
3,6,4,3,11,65,1
3,6,19,3,6,70,0
3,6,52,2,16,60,1
3,7,34,1,10,66,0
3,8,12,2,2,60,0
3,8,50,1,10,52,0
2,0,27,4,4,96,0
2,0,30,3,4,96,1
2,1,7,2,3,97,0
2,1,14,1,7,93,1
2,1,21,1,10,77,1
2,2,0,1,10,57,2
2,2,41,4,7,75,0
2,2,44,3,7,75,1
2,2,51,2,7,75,2
2,3,25,1,18,64,0
2,3,51,1,10,72,1
2,4,25,2,6,64,1
2,5,1,1,10,60,0
2,7,1,0,0,85,0
2,7,6,1,5,95,1
2,7,39,3,3,89,1
2,8,16,2,4,88,0
2,8,59,1,10,82,1
2,9,33,3,2,77,1
2,10,14,2,1,78,0
2,10,45,1,10,69,1
2,11,11,1,10,64,0
2,12,55,0,0,85,0
2,12,59,1,2,98,0
2,13,39,3,4,93,1
2,14,18,2,10,87,0
2,14,24,1,10,87,1
2,15,0,3,1,84,0
1,0,26,2,9,76,1
1,1,6,1,10,75,0
1,1,12,3,19,60,1
1,1,18,2,19,60,1
1,1,46,2,10,69,1
1,2,32,1,10,69,0
1,3,6,4,1,64,1
1,3,42,3,3,62,0
1,4,21,2,10,55,1
1,4,26,1,10,55,1
1,5,7,2,2,53,0
1,9,59,1,10,52,0
4,0,40,0,0,98,0
4,0,45,2,7,93,1
4,0,55,1,7,93,0
4,1,13,2,8,76,2
4,1,20,1,10,74,1
4,1,42,1,10,62,1
4,1,57,3,1,60,0
4,2,0,2,1,60,1
4,2,18,1,10,51,1
4,3,0,0,0,85,0
4,3,9,2,8,56,0
4,3,16,1,10,54,0
4,3,17,0,0,99,0
4,3,17,0,0,98,0
4,3,22,2,7,93,0
4,3,42,1,9,91,1
4,3,59,2,2,84,1
4,4,24,1,10,76,1
1,1,47,0,0,85,0
1,1,53,3,10,81,1
1,1,56,2,10,81,1
1,2,1,1,10,81,1
1,2,35,2,2,79,0
1,3,14,1,10,71,0
1,3,49,2,1,62,0
1,4,27,1,10,53,1
3,10,14,1,10,63,0
3,10,33,3,9,52,1
3,11,10,2,10,51,0
3,11,14,1,10,51,0
2,1,53,4,7,52,0
2,1,58,3,7,52,1
2,6,58,0,0,85,0
2,7,3,3,5,95,1
2,7,10,2,5,95,1
2,7,46,1,8,92,0
2,8,2,1,10,78,0
2,8,21,1,10,73,0
2,8,40,1,10,60,0
2,9,53,0,0,85,0
2,9,58,2,1,99,0
2,10,32,1,8,92,0
2,11,15,3,3,86,1
2,11,59,2,12,77,1
2,12,42,1,20,69,0
2,13,11,1,10,79,0
2,13,16,2,22,64,2
2,13,40,2,17,69,0
2,14,10,2,10,76,1
2,14,16,1,10,76,2
2,15,0,1,10,60,1
1,1,11,0,0,85,0
1,1,26,4,7,93,0
1,1,31,3,7,93,1
1,1,37,2,7,93,1
1,2,19,1,9,91,0
1,3,6,3,3,87,0
4,5,50,1,10,54,2
3,0,35,0,0,85,0
3,0,45,2,2,72,2
3,1,22,1,10,64,0
3,2,4,4,8,51,2
3,2,9,3,8,51,1
3,3,21,2,5,54,1
3,7,8,0,0,85,0
3,7,13,1,5,95,1
3,7,55,3,5,81,1
3,8,43,2,9,77,1
3,9,26,1,10,76,1
3,10,9,2,7,63,1
3,10,49,1,10,60,0
3,12,15,1,10,50,1
2,0,2,3,8,92,0
2,0,7,2,15,85,1
2,0,14,2,5,95,1
2,0,49,1,6,94,0
2,1,10,2,1,87,1
2,1,17,1,10,78,1
2,1,50,1,10,67,1
2,6,11,0,0,85,0
2,6,18,2,8,79,2
2,7,0,1,10,77,0
2,7,6,2,9,72,2
2,7,45,1,10,71,0
